,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.53,20.04,42.8,87,15,3.36,ZA,1595809364
1,Norman Wells,65.28,-126.83,71.6,46,75,19.46,CA,1595809365
2,Moen,69.13,18.61,46.4,93,8,19.46,NO,1595809348
3,Saint Simons,31.14,-81.39,86.0,74,20,5.82,US,1595809366
4,Coquimbo,-29.95,-71.34,53.6,81,64,2.24,CL,1595809366
5,Ribeira Grande,38.52,-28.7,73.27,90,40,4.97,PT,1595809367
6,Port Alfred,-33.59,26.89,57.24,67,67,8.28,ZA,1595809110
7,Mataura,-46.19,168.86,39.0,83,0,3.0,NZ,1595809367
8,Dedza,-14.38,34.33,46.6,89,12,2.8,MW,1595809368
9,Rikitea,-23.12,-134.97,70.32,78,0,20.24,PF,1595809368
10,Yar-Sale,66.83,70.83,48.72,76,16,8.66,RU,1595809369
11,Zhigansk,66.77,123.37,52.2,62,2,11.86,RU,1595809369
12,Curup,-3.47,102.53,67.6,89,63,3.2,ID,1595809370
13,Barrow,71.29,-156.79,46.4,93,90,19.46,US,1595809370
14,East London,-33.02,27.91,59.9,65,91,11.39,ZA,1595809370
15,Ushuaia,-54.8,-68.3,32.0,95,90,23.04,AR,1595809019
16,Tiksi,71.69,128.87,37.36,93,100,10.27,RU,1595809371
17,Sur,22.57,59.53,87.12,62,91,13.02,OM,1595809372
18,Srandakan,-7.94,110.25,74.53,82,28,6.8,ID,1595809372
19,Ixtapa,20.7,-105.2,86.0,74,40,12.75,MX,1595809373
20,Southbridge,42.08,-72.03,82.0,61,36,6.29,US,1595809373
21,Bathsheba,13.22,-59.52,82.4,74,20,12.75,BB,1595809373
22,Busselton,-33.65,115.33,63.0,83,62,20.09,AU,1595809373
23,Aklavik,68.22,-135.01,69.8,56,75,5.82,CA,1595809373
24,Saldanha,-33.01,17.94,48.2,76,0,1.12,ZA,1595809373
25,Port Macquarie,-31.43,152.92,63.0,93,100,9.62,AU,1595809373
26,Pearland,29.56,-95.29,84.99,70,20,14.99,US,1595809149
27,Hermanus,-34.42,19.23,46.0,85,12,1.01,ZA,1595809375
28,Clyde River,70.47,-68.59,44.6,87,75,8.05,CA,1595809375
29,Mahébourg,-20.41,57.7,69.8,77,75,14.99,MU,1595809375
30,Krasnosel'kup,65.7,82.47,50.49,64,42,14.7,RU,1595809375
31,Punta Arenas,-53.15,-70.92,35.6,74,30,16.11,CL,1595809214
32,Thinadhoo,0.53,72.93,82.53,69,100,4.21,MV,1595809376
33,Ngunguru,-35.62,174.5,60.01,39,72,1.99,NZ,1595809376
34,Belle Fourche,44.67,-103.85,81.0,56,1,5.82,US,1595809376
35,Blackwater,-23.58,148.88,61.77,46,5,1.72,AU,1595809377
36,Naze,28.37,129.48,86.0,94,75,10.29,JP,1595809377
37,Bambous Virieux,-20.34,57.76,70.0,77,75,14.99,MU,1595809377
38,Dongsheng,39.82,109.98,71.69,46,0,8.68,CN,1595809377
39,Fortuna,40.6,-124.16,63.0,82,19,1.99,US,1595809377
40,Albany,42.6,-73.97,84.99,54,60,5.61,US,1595809377
41,Qaanaaq,77.48,-69.36,43.47,62,0,3.36,GL,1595809378
42,North Bend,43.41,-124.22,81.0,72,1,10.29,US,1595809379
43,Nouadhibou,20.93,-17.03,69.8,88,0,21.92,MR,1595809379
44,Fredericksburg,38.3,-77.46,91.4,46,1,6.93,US,1595809295
45,Phitsanulok,16.92,100.5,82.4,88,20,4.7,TH,1595809380
46,Ponta Delgada,37.73,-25.67,69.8,88,75,5.82,PT,1595809380
47,Walvis Bay,-22.96,14.51,68.0,37,0,12.75,NA,1595809380
48,San Patricio,19.22,-104.7,87.8,79,75,9.17,MX,1595809381
49,Port Elizabeth,-33.92,25.57,51.8,93,40,5.82,ZA,1595809382
50,Esperance,-33.87,121.9,50.0,93,87,20.8,AU,1595809382
51,Whitehorse,60.72,-135.05,66.2,39,75,14.99,CA,1595809184
52,Lipari,38.47,14.95,75.99,71,0,4.0,IT,1595809383
53,Lavrentiya,65.58,-171.0,63.99,60,94,16.8,RU,1595809383
54,Rawson,-43.3,-65.1,42.39,79,100,8.75,AR,1595809383
55,Plouzané,48.38,-4.62,59.0,93,8,11.41,FR,1595809384
56,Lebu,-37.62,-73.65,49.05,82,88,8.61,CL,1595809384
57,Tilichiki,60.47,166.1,68.13,47,0,4.43,RU,1595809384
58,Ambilobe,-13.2,49.05,67.05,84,100,2.26,MG,1595809384
59,Maţāy,28.42,30.78,77.76,48,0,13.98,EG,1595809386
60,Gainesville,29.65,-82.32,75.2,100,75,2.48,US,1595809337
61,Pevek,69.7,170.31,53.62,68,87,6.26,RU,1595809386
62,Ostrovnoy,68.05,39.51,57.54,81,89,3.13,RU,1595809264
63,Rome,43.21,-75.46,84.2,62,1,6.93,US,1595809387
64,Vaini,-21.2,-175.2,75.2,78,75,10.29,TO,1595809387
65,Hobart,-42.88,147.33,51.01,87,75,5.82,AU,1595809275
66,Viedma,-40.81,-63.0,44.01,87,79,5.01,AR,1595809116
67,Flin Flon,54.77,-101.86,71.6,53,75,11.41,CA,1595809387
68,Saint-Philippe,-21.36,55.77,66.2,72,58,5.82,RE,1595809388
69,Cidreira,-30.18,-50.21,58.01,85,100,14.03,BR,1595809100
70,Te Anau,-45.42,167.72,45.39,72,14,1.32,NZ,1595809388
71,Berdigestyakh,62.1,126.7,69.49,57,100,2.01,RU,1595809388
72,Guerrero Negro,27.98,-114.06,74.91,64,0,20.65,MX,1595809388
73,Narsaq,60.92,-46.05,50.0,76,81,5.82,GL,1595809388
74,New Norfolk,-42.78,147.06,48.99,81,100,1.99,AU,1595809388
75,Husavik,66.04,-17.34,44.6,81,90,9.17,IS,1595809389
76,Tuktoyaktuk,69.45,-133.04,68.0,56,75,3.36,CA,1595809389
77,Katsuura,35.13,140.3,86.0,70,75,16.11,JP,1595809389
78,Puerto Ayora,-0.74,-90.35,68.0,89,67,3.0,EC,1595809389
79,Lillooet,50.69,-121.94,98.6,17,1,3.36,CA,1595809389
80,Iqaluit,63.75,-68.51,50.0,87,40,5.82,CA,1595809389
81,Altamont,42.21,-121.74,96.01,14,1,5.82,US,1595809270
82,Pocrí,8.27,-80.55,77.79,88,93,2.53,PA,1595809390
83,Fairbanks,64.84,-147.72,69.8,40,75,4.7,US,1595809258
84,High Level,58.52,-117.14,80.6,36,40,8.05,CA,1595809390
85,Saint Paul Harbor,57.79,-152.41,60.8,72,75,6.93,US,1595809390
86,Umluj,25.02,37.27,86.5,69,79,11.18,SA,1595809390
87,Oussouye,12.48,-16.55,82.4,88,40,4.7,SN,1595809390
88,Nikolskoye,59.7,30.79,55.99,93,1,2.42,RU,1595809391
89,Codrington,-38.27,141.97,52.72,77,58,16.4,AU,1595809391
90,Chui,-33.7,-53.46,47.21,88,92,7.92,UY,1595809391
91,Melk,48.23,15.33,64.0,82,72,1.01,AT,1595809391
92,Gazalkent,41.56,69.77,80.6,39,20,4.7,UZ,1595809391
93,Souillac,-20.52,57.52,69.8,77,75,14.99,MU,1595809391
94,Airai,-8.93,125.41,62.46,68,84,5.32,TL,1595809392
95,Alyangula,-13.85,136.42,77.0,50,80,11.41,AU,1595809392
96,Wenling,28.37,121.36,84.0,56,100,11.05,CN,1595809392
97,Stephenville,32.22,-98.2,89.6,49,75,10.29,US,1595809392
98,Bluff,-46.6,168.33,39.0,83,0,3.0,NZ,1595809392
99,Erenhot,43.65,111.98,72.93,62,83,9.13,CN,1595809393
100,Zhezkazgan,47.8,67.71,68.65,38,52,6.8,KZ,1595809393
101,Avarua,-21.21,-159.78,71.6,88,89,5.82,CK,1595809393
102,Caxias,38.7,-9.28,68.0,72,20,16.11,PT,1595809394
103,Ballina,-28.87,153.57,62.6,55,1,27.51,AU,1595809396
104,Provideniya,64.38,-173.3,51.8,76,75,17.9,RU,1595809396
105,Lorengau,-2.02,147.27,83.07,80,86,8.12,PG,1595809397
106,Doha,25.29,51.53,93.2,63,18,1.12,QA,1595809397
107,Khatanga,71.97,102.5,43.07,74,100,10.02,RU,1595809018
108,Cape Town,-33.93,18.42,53.01,76,0,6.93,ZA,1595809019
109,Byron Bay,-28.65,153.62,62.6,55,10,27.51,AU,1595809397
110,Castro,-24.79,-50.01,55.89,93,98,4.27,BR,1595809358
111,Goderich,43.75,-81.72,84.99,68,99,14.18,CA,1595809397
112,Thompson,55.74,-97.86,62.6,82,75,4.7,CA,1595809398
113,Abonnema,4.71,6.79,75.2,100,75,6.62,NG,1595809398
114,Severo-Kuril'sk,50.68,156.12,52.66,87,99,16.67,RU,1595809398
115,Harlingen,26.19,-97.7,82.99,52,100,17.45,US,1595809335
116,Jamestown,42.1,-79.24,79.0,65,1,5.82,US,1595809398
117,Port Hedland,-20.32,118.57,66.2,17,5,12.75,AU,1595809398
118,Nanortalik,60.14,-45.24,44.38,85,31,3.31,GL,1595809398
119,Sulina,45.16,29.65,70.75,67,59,8.28,RO,1595809399
120,Cherskiy,68.75,161.3,79.47,38,4,15.55,RU,1595809399
121,Arraial do Cabo,-22.97,-42.03,71.6,88,75,9.62,BR,1595809399
122,Stornoway,58.21,-6.39,52.0,87,100,25.28,GB,1595809399
123,Arlit,18.74,7.39,93.54,19,34,8.46,NE,1595809399
124,Xiongzhou,25.12,114.3,84.72,67,97,3.78,CN,1595809399
125,Dalmatovo,56.26,62.94,51.26,78,60,5.61,RU,1595809399
126,Changji,44.02,87.32,78.8,34,63,8.95,CN,1595809400
127,Necochea,-38.55,-58.74,50.0,77,100,5.01,AR,1595809400
128,Saskylakh,71.92,114.08,38.62,94,100,17.29,RU,1595809400
129,Dayong,25.02,118.29,87.8,74,40,6.71,CN,1595809400
130,Paris,48.85,2.35,66.2,68,62,6.93,FR,1595809251
131,Dikson,73.51,80.55,37.94,90,90,14.97,RU,1595809400
132,Mahroni,24.59,78.73,83.53,66,12,8.99,IN,1595809400
133,Clarksdale,34.2,-90.57,82.4,74,44,5.17,US,1595809400
134,Chokurdakh,70.63,147.92,42.78,75,99,13.6,RU,1595809401
135,Arman',59.7,150.17,63.39,57,49,7.58,RU,1595809401
136,Carnarvon,-24.87,113.63,55.4,93,0,5.82,AU,1595809401
137,Samarai,-10.62,150.67,79.68,84,57,9.37,PG,1595809401
138,Barcelos,41.54,-8.62,66.99,87,0,10.29,PT,1595809128
139,Longyearbyen,78.22,15.64,55.4,82,20,10.29,SJ,1595809324
140,Hailar,49.2,119.7,80.47,42,0,10.45,CN,1595809402
141,Cabo San Lucas,22.89,-109.91,89.01,51,5,10.29,MX,1595809402
142,Port-Gentil,-0.72,8.78,75.2,94,75,13.85,GA,1595809403
143,Sayyan,15.17,44.32,61.79,74,100,1.7,YE,1595809404
144,Torbay,47.67,-52.73,57.2,93,90,17.22,CA,1595809407
145,Bo Phloi,14.32,99.52,78.73,81,100,3.2,TH,1595809408
146,El Carmen,8.51,-73.45,70.81,90,82,2.86,CO,1595809408
147,Carutapera,-1.2,-46.02,75.58,91,5,4.85,BR,1595809408
148,Kapaa,22.08,-159.32,84.0,78,90,24.16,US,1595809408
149,Nadvoitsy,63.87,34.32,53.4,90,19,2.98,RU,1595809409
150,Riyadh,24.69,46.72,89.6,35,12,7.43,SA,1595809161
151,Yellowknife,62.46,-114.35,75.99,46,40,12.75,CA,1595809409
152,Māngrol,21.12,70.12,82.65,83,1,8.43,IN,1595809409
153,Novo Aripuanã,-5.12,-60.38,79.38,53,19,0.74,BR,1595809409
154,Alihe,50.57,123.72,70.77,83,74,0.89,CN,1595809409
155,Mar del Plata,-38.0,-57.56,52.0,87,90,9.17,AR,1595809359
156,Guangming,45.33,122.78,82.96,45,35,7.52,CN,1595809410
157,Kruisfontein,-34.0,24.73,52.29,71,73,1.86,ZA,1595809410
158,Yenagoa,4.92,6.26,74.53,93,99,4.85,NG,1595809411
159,Vardø,70.37,31.11,58.73,74,40,12.33,NO,1595809412
160,Soure,-0.72,-48.52,79.63,82,8,8.48,BR,1595809413
161,Half Moon Bay,37.46,-122.43,80.01,82,75,5.82,US,1595809413
162,Marquette,46.53,-87.63,79.0,82,96,1.01,US,1595809413
163,Waipawa,-41.41,175.52,53.01,81,0,4.7,NZ,1595809414
164,Cabedelo,-6.98,-34.83,73.4,94,90,6.93,BR,1595809414
165,Banda Aceh,5.56,95.32,79.38,76,100,6.22,ID,1595809415
166,Margate,51.38,1.39,64.0,82,94,4.0,GB,1595809415
167,Inuvik,68.35,-133.72,69.8,56,75,5.82,CA,1595809416
168,Talnakh,69.49,88.4,48.2,81,75,13.42,RU,1595809416
169,Grindavik,63.84,-22.43,48.2,81,78,11.41,IS,1595809416
170,Bengkulu,-3.8,102.27,74.89,83,74,4.05,ID,1595809417
171,Conceição do Araguaia,-8.26,-49.26,80.6,51,54,2.24,BR,1595809417
172,Sarangani,5.4,125.46,80.13,83,100,12.41,PH,1595809417
173,Chimbote,-9.09,-78.58,60.57,85,2,7.14,PE,1595809417
174,San Cristobal,7.77,-72.22,82.4,65,40,4.7,VE,1595809417
175,Tazovsky,67.47,78.7,47.3,70,95,12.95,RU,1595809417
176,Ust'-Kut,56.79,105.77,63.23,59,99,1.45,RU,1595809417
177,Hasaki,35.73,140.83,84.99,74,75,10.29,JP,1595809418
178,Aswān,24.09,32.91,89.35,13,0,10.51,EG,1595809418
179,Constitución,-35.33,-72.42,51.39,88,100,7.99,CL,1595809418
180,Makkah al Mukarramah,21.43,39.83,86.25,55,39,2.26,SA,1595809418
181,Kuala Terengganu,5.33,103.14,80.6,83,20,5.82,MY,1595809418
182,Minzhu,43.73,127.34,71.67,73,65,6.87,CN,1595809418
183,Hilo,19.73,-155.09,89.6,59,75,18.34,US,1595809418
184,Sinnamary,5.38,-52.95,79.12,85,8,8.79,GF,1595809419
185,Rio Grande,-32.03,-52.1,50.0,85,98,1.01,BR,1595809408
186,Isangel,-19.55,169.27,80.6,65,30,5.82,VU,1595809419
187,Basoko,1.24,23.62,68.95,95,83,3.96,CD,1595809419
188,Valkeala,60.94,26.8,53.6,100,15,4.7,FI,1595809420
189,Norrtälje,59.76,18.7,66.0,65,97,5.99,SE,1595809420
190,Black Diamond,47.31,-122.0,89.01,47,0,1.01,US,1595809420
191,Port Said,31.26,32.28,78.8,83,0,6.93,EG,1595809420
192,Pisco,-13.7,-76.22,62.6,77,75,11.41,PE,1595809159
193,Biak,-0.91,122.88,77.18,80,98,7.94,ID,1595809420
194,Tongling,30.95,117.78,74.21,96,100,4.07,CN,1595809421
195,Iranshahr,27.2,60.68,89.6,46,92,4.36,IR,1595809421
196,San Quintín,30.48,-115.95,72.95,69,3,15.41,MX,1595809421
197,Vila Velha,-20.33,-40.29,69.8,94,75,1.12,BR,1595809421
198,Kavaratti,10.57,72.64,81.28,81,54,11.52,IN,1595809421
199,Umm Hājar,13.3,19.7,82.92,65,99,16.46,TD,1595809421
200,Montrose,38.42,-108.27,89.01,28,1,9.17,US,1595809421
201,Mount Gambier,-37.83,140.77,53.6,66,40,11.41,AU,1595809422
202,Mount Darwin,-16.77,31.58,49.69,75,0,2.53,ZW,1595809422
203,Paamiut,61.99,-49.67,45.86,90,17,1.86,GL,1595809423
204,Phaltan,17.98,74.43,73.38,86,1,4.7,IN,1595809424
205,Solnechnyy,50.72,136.63,62.98,93,100,1.52,RU,1595809424
206,Philadelphia,39.95,-75.16,90.0,40,75,11.41,US,1595809298
207,Chernyshevskiy,63.01,112.47,55.83,65,0,4.29,RU,1595809425
208,Yulara,-25.24,130.99,55.4,54,0,12.75,AU,1595809425
209,Severnoye,56.35,78.36,53.76,90,68,3.09,RU,1595809426
210,Inhambane,-23.86,35.38,63.01,77,0,6.13,MZ,1595809426
211,Sibu,2.3,111.82,75.2,94,40,2.24,MY,1595809427
212,Butaritari,3.07,172.79,83.64,74,22,11.3,KI,1595809019
213,Chicama,-7.84,-79.15,61.66,80,7,6.22,PE,1595809428
214,Shimoda,34.67,138.95,82.4,83,75,11.41,JP,1595809428
215,Ibipeba,-11.64,-42.01,65.28,77,44,8.28,BR,1595809428
216,Ponta do Sol,32.67,-17.1,69.8,68,20,18.34,PT,1595809429
217,Atuona,-9.8,-139.03,80.24,72,3,23.6,PF,1595809430
218,Manaia,-39.55,174.13,54.0,81,5,5.01,NZ,1595809431
219,Puerto Nariño,-3.77,-70.38,73.4,100,75,1.83,CO,1595809431
220,Olinda,-8.01,-34.86,78.8,69,40,13.87,BR,1595809432
221,High Prairie,55.43,-116.49,75.15,54,0,3.58,CA,1595809303
222,Palauig,15.44,119.9,84.74,70,54,1.28,PH,1595809433
223,Saint George,37.1,-113.58,102.99,10,1,11.41,US,1595809371
224,Glendive,47.11,-104.71,84.0,26,1,3.36,US,1595809434
225,Skibbereen,51.55,-9.27,59.0,93,75,12.75,IE,1595809434
226,Valdivia,-39.81,-73.25,44.6,87,4,3.36,CL,1595809434
227,Takoradze,4.88,-1.76,74.14,88,49,8.63,GH,1595809435
228,Touros,-5.2,-35.46,71.6,94,75,2.24,BR,1595809435
229,Lebanon,36.21,-86.29,84.2,74,40,6.93,US,1595809435
230,Pochutla,15.74,-96.47,86.0,66,20,11.41,MX,1595809436
231,Pāthardi,19.17,75.18,74.91,83,37,6.49,IN,1595809436
232,Brownsville,25.9,-97.5,84.2,89,90,14.99,US,1595809436
233,Kaitangata,-46.28,169.85,52.0,61,0,4.0,NZ,1595809437
234,Road Town,18.42,-64.62,86.0,70,20,8.05,VG,1595809272
235,Monrovia,6.3,-10.8,77.0,94,75,4.7,LR,1595809437
236,Sola,-13.88,167.55,82.4,78,90,5.82,VU,1595809437
237,Labuhan,-6.88,112.21,74.23,83,47,10.69,ID,1595809437
238,Karratha,-20.74,116.85,64.53,30,47,14.03,AU,1595809437
239,Taoudenni,22.68,-3.98,100.35,8,3,13.71,ML,1595809437
240,Areni,39.72,45.18,73.4,56,0,4.7,AM,1595809438
241,Jalu,29.03,21.55,77.79,58,0,11.14,LY,1595809438
242,Fonte Boa,-2.5,-66.27,76.55,81,46,1.81,BR,1595809438
243,George Town,5.41,100.34,80.6,94,20,5.7,MY,1595809438
244,Melito di Porto Salvo,37.92,15.77,77.0,88,5,5.82,IT,1595809438
245,Chapais,49.78,-74.85,71.6,88,1,2.24,CA,1595809438
246,Ilulissat,69.22,-51.1,44.6,93,100,3.36,GL,1595809438
247,Challans,46.84,-1.87,57.2,100,0,2.24,FR,1595809439
248,Namatanai,-3.67,152.43,84.76,68,100,6.4,PG,1595809439
249,Wagar,16.15,36.2,79.05,69,73,19.37,SD,1595809439
250,Poum,-20.23,164.02,73.92,78,0,13.02,NC,1595809439
251,Ouallam,14.32,2.09,88.38,53,26,7.31,NE,1595809439
252,Gamba,-2.65,10.0,73.06,84,98,6.33,GA,1595809440
253,Bongandanga,1.5,21.05,68.11,99,82,1.79,CD,1595809440
254,Linqiong,30.42,103.46,81.0,61,0,4.47,CN,1595809440
255,Sitka,57.05,-135.33,55.4,93,90,10.29,US,1595809440
256,Saint-Michel-des-Saints,46.68,-73.92,78.01,8,49,7.47,CA,1595809440
257,Ahipara,-35.17,173.17,56.61,57,0,4.81,NZ,1595809441
258,Pecos,31.42,-103.49,93.2,32,40,13.87,US,1595809441
259,Ayan,56.45,138.17,59.13,74,8,8.77,RU,1595809441
260,Upernavik,72.79,-56.15,44.87,85,87,6.33,GL,1595809418
261,Villarrica,-25.75,-56.43,62.35,62,100,3.27,PY,1595809441
262,Mariehamn,60.1,19.93,64.4,72,96,12.75,AX,1595809441
263,Uwajima,33.22,132.56,80.6,94,75,2.24,JP,1595809441
264,Deputatsky,69.3,139.9,55.13,74,56,5.61,RU,1595809442
265,Ust-Tsilma,65.44,52.15,62.46,61,86,3.71,RU,1595809442
266,Santa Rosa,14.31,121.11,87.01,83,37,3.36,PH,1595809442
267,Chemainus,48.92,-123.72,86.0,33,5,9.17,CA,1595809442
268,Vestmannaeyjar,63.44,-20.27,51.69,87,100,4.92,IS,1595809442
269,Whitianga,-36.83,175.7,55.65,61,70,5.5,NZ,1595809443
270,Tomatlán,19.93,-105.25,81.7,76,86,3.4,MX,1595809443
271,Haverfordwest,51.8,-4.97,62.01,100,100,26.4,GB,1595809443
272,Xuanwu,32.07,118.81,78.01,90,100,1.66,CN,1595809443
273,Laibin,23.7,109.27,81.54,76,100,7.25,CN,1595809443
274,Hundested,55.97,11.87,59.0,100,0,15.43,DK,1595809443
275,Waddān,29.16,16.14,74.64,44,0,1.19,LY,1595809443
276,Marsh Harbour,26.54,-77.06,83.35,78,73,11.14,BS,1595809443
277,Pangnirtung,66.15,-65.71,53.4,65,100,3.27,CA,1595809444
278,Sabang,5.89,95.32,82.04,74,100,7.16,ID,1595809444
279,Muzhi,65.37,64.67,52.74,78,59,3.29,RU,1595809445
280,Province of Trapani,37.83,12.67,75.0,78,0,2.24,IT,1595809446
281,Klaksvík,62.23,-6.59,48.2,93,100,13.87,FO,1595809019
282,Buraidah,26.33,43.98,93.2,34,0,5.82,SA,1595809447
283,Geraldton,-28.77,114.6,55.4,66,0,14.99,AU,1595809447
284,Cap Malheureux,-19.98,57.61,70.0,70,100,8.99,MU,1595809447
285,Oranjemund,-28.55,16.43,56.23,83,0,13.82,NA,1595809448
286,Kirkwall,58.98,-2.96,50.0,92,16,7.0,GB,1595809448
287,Obigarm,38.72,69.71,66.02,42,37,5.01,TJ,1595809449
288,Oistins,13.07,-59.53,82.4,74,20,12.75,BB,1595809433
